: 1704400790:0;wg-quick up wg0
: 1705672456:0;python3 libraries/community/python/create_server.py --name ansible --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ansible --folder ansible
: 1705672594:0;ip a
: 1705672619:0;ssh -i keys/ansible ubuntu@10.0.0.2
: 1705672626:0;ssh -i keys/ansible ubuntu@10.0.0.3
: 1705672635:0;sudo apt-get install nmap
: 1705672649:0;ssh -i keys/ansible ubuntu@10.0.0.3
: 1705672664:0;nmap -P0 10.0.0.0/25 -p 22
: 1705672724:0;nmap -sS 10.0.0.0/25 -p 22
: 1705672729:0;sudo nmap -sS 10.0.0.0/25 -p 22
: 1705672752:0;ssh -i keys/ansible ubuntu@10.0.0.22
: 1705672756:0;pwd
: 1705672759:0;ls -al keys
: 1705672771:0;ssh -i keys/armyknife ubuntu@10.0.0.22
: 1705672783:0;ssh -i keys/armyknife ansible@10.0.0.22
: 1705672852:0;python3 libraries/community/python/create_vbox.py --name ubuntu09 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu
: 1705673473:0;python3 libraries/community/python/create_server.py --name ansible --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ansible --folder ansible
: 1705673817:0;python3 libraries/community/python/create_vbox.py --name ubuntu10 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu
: 1705674213:0;python3 libraries/community/python/create_server.py --name ubuntu --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705674225:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705674347:0;ssh -i keys/armyknife ubuntu@10.0.0.8
: 1705675433:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705675748:0;cd tools/vbox/ubuntu/images
: 1705675762:0;cd tools/vbox/servers/ubuntu/images
: 1705675763:0;pwd
: 1705675801:0;cd ~/VirtualBox\ VMs/ubuntu/
: 1705675878:0;cd ..
: 1705675880:0;pwd
: 1705675892:0;cd localprojects/armyknife-tier1
: 1705675898:0;cd localprojects/code/armyknife-tier1
: 1705675901:0;ls -al
: 1705675910:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705677355:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu01 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu01
: 1705677533:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu02 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu02
: 1705677760:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu03 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu03
: 1705677939:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu04 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu04
: 1705679785:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu05 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu05
: 1705680476:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu06 --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu06
: 1705682594:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu --memory 8192 --cpu 1 --disk 24096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705683347:0;cd localprojects
: 1705683349:0;cd code
: 1705683358:0;cd armyknife-tier1
: 1705683361:0;cd keys
: 1705683375:0;ssh -i armyknife ubuntu@10.0.0.192
: 1705683594:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu --memory 8192 --cpu 1 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705683737:0;ssh -i armyknife ubuntu@10.0.0.71
: 1705686832:0;git status
: 1705686846:0;git add libraries/community/python/create_server_ubuntu.py
: 1705686857:0;git commit -m "Testing Beta to make sure everything works"
: 1705686860:0;git push origin main
: 1705686932:0;git status
: 1705686957:0;git add tools/vbox/servers/ubuntu/config/*
: 1705686973:0;git add tools/vbox/servers/ubuntu/configs/*
: 1705686983:0;git commit -m "Testing configs"
: 1705686996:0;git push origin main
: 1705687065:0;git add tools/vbox/servers/ubuntu/images/.gitkeep
: 1705687082:0;git commit -m "Placeholder for image folder"
: 1705687085:0;git push origin main
: 1705696839:0;mount
: 1705696908:0;cd Downloads
: 1705696909:0;ls -al
: 1705697084:0;sudo dd of=/dev/sda if=Fedora-Workstation-Live-x86_64-39-1.5.iso bs=4M
: 1705697207:0;sudo reboot
: 1705698270:0;cd Downloads
: 1705698273:0;ls -al
: 1705698342:0;sudo dd of=/dev/sda if=ubuntu-22.04.3-desktop-amd64.iso bs=4M
: 1705698440:0;exit
: 1705698755:0;cd Downloads
: 1705698760:0;sudo dd of=/dev/sda if=ubuntu-22.04.3-desktop-amd64.iso bs=4M
: 1705699410:0;git status
: 1705699414:0;git add Makefile
: 1705699419:0;git add Makefile.Workstation.mk
: 1705699455:0;git add Makefile.Libs.mk
: 1705699460:0;git add Makefile.Vault.mk
: 1705699496:0;git commit -m "Minor updates need tested"
: 1705699501:0;git push origin main
: 1705699582:0;git status
: 1705700241:0;git add tools/geodesic/*
: 1705700261:0;git commit -m "Testing Current Config"
: 1705700265:0;git push origin main
: 1705713933:0;git status
: 1705713943:0;git add community/*
: 1705713951:0;git add support/*
: 1705713966:0;git status
: 1705714002:0;git rm libraries/community/*
: 1705714024:0;git rm libraries/community/bash/frisbee.sh
: 1705714034:0;git rm libraries/community/bash/start-minikube.sh
: 1705714048:0;git rm libraries/community/python/create_server_ubuntu.py
: 1705714060:0;git rm libraries/community/python/create_vbox.py
: 1705714070:0;git rm libraries/support/.gitkeep
: 1705714078:0;git rm libraries/support/gitignore_global
: 1705714087:0;git rm libraries/support/gitmessage
: 1705714089:0;git status
: 1705714116:0;git add support/.gitkeep
: 1705714145:0;git rm community/python/create_server_ansible.py
: 1705714157:0;git rm -f community/python/create_server_ansible.py
: 1705714161:0;git status
: 1705714169:0;git commit -m "Moved files around"
: 1705714173:0;git push origin main
: 1705714471:0;git status
: 1705714477:0;git add Makefile.Workstation.mk
: 1705714487:0;git commit -m "Testing Changes"
: 1705714490:0;git push origin main
: 1705714714:0;git status
: 1705714717:0;git add Makefile.Workstation.mk
: 1705714728:0;git commit -m "Added target to install dev tools"
: 1705714734:0;git push origin main
: 1705714861:0;git add Makefile.Workstation.mk
: 1705714863:0;git commit -m "Added target to install dev tools"
: 1705714868:0;git push origin main
: 1705715283:0;git status
: 1705715287:0;git add Makefile.Workstation.mk
: 1705715293:0;git commit -m "More testing to do"
: 1705715297:0;git push origin main
: 1705715772:0;git add Makefile.Workstation.mk
: 1705715788:0;git commit -m "More testing to do"
: 1705715792:0;git push origin main
: 1705721358:0;git status
: 1705721370:0;git add Makefile.Workstation.mk
: 1705721390:0;git commit -m "Testing on basic install of Ubuntu"
: 1705721394:0;git push origin main
: 1705758235:0;git status
: 1705758241:0;git add Makefile.VBox.mk
: 1705758248:0;git commit -m "Testing new changes"
: 1705758251:0;git push origin main
: 1705758256:0;git pull
: 1705758279:0;git config pull.rebase true
: 1705758281:0;git pull
: 1705758370:0;git push origin main
: 1705758375:0;git pull
: 1705758379:0;git stash
: 1705758382:0;git pull
: 1705758388:0;git pull origin main
: 1705758396:0;git push origin main
: 1705758408:0;git status
: 1705758434:0;git rebase --continue
: 1705758443:0;git pull origin main
: 1705758473:0;git status
: 1705758480:0;git add Makefile.VBox.mk
: 1705758486:0;git commit -m "Testing new changes"
: 1705758489:0;git push origin main
: 1705759423:0;git pull origin main
: 1705760176:0;make import-ovas
: 1705761336:0;python3 libraries/community/python/create_server_ubuntu.py --name ubuntu --memory 4096 --cpu 1 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705761351:0;python3 community/python/create_server_ubuntu.py --name ubuntu --memory 4096 --cpu 1 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705761397:0;ip a
: 1705761432:0;python3 community/python/create_server_ubuntu.py --name ubuntu --memory 4096 --cpu 1 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705761616:0;cd localprojects
: 1705761621:0;cd ~/localprojects
: 1705761622:0;cd code
: 1705761626:0;cd armyknife-tier1
: 1705761640:0;ssh -i keys/armyknife ubuntu@10.0.0.9
: 1705784816:0;python3 community/python/create_server_ubuntu.py --name ansible --memory 4096 --cpu 2 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ansible
: 1705784982:0;ssh -i keys/armyknife ansible@10.0.0.24
: 1705786721:0;ip a
: 1705787569:0;cd localprojects/code/armyknife-tier1/keys/
: 1705787570:0;ls -al
: 1705787575:0;cat aryknife.pub
: 1705787579:0;cat armyknife.pub
: 1705787612:0;ls -al 
: 1705787615:0;cat armyknife
: 1705800731:0;ssh -i keys/armyknife ansible@10.0.0.24
: 1705804989:0;scp -i armyknife ansible@10.0.0.24:/etc/ansible.tar .
: 1705804992:0;ls -al
: 1705805020:0;cp ansible.tar ~/Documents/
: 1705805257:0;git status
: 1705805273:0;git add community/ansible/*
: 1705805275:0;git status
: 1705829270:0;git commit -m 
: 1705829290:0;git commit -m "Testing Playbook to install filebeat and send to ELK"
: 1705829299:0;git push origin main
: 1705831222:0;git status
: 1705831241:0;git add tools/vbox/templates/*
: 1705831257:0;git add armyknife.keys
: 1705831293:0;git commit -m "Testing a few files"
: 1705831297:0;git push origin main
: 1705831382:0;ssh -i keys/armyknife ansible@10.0.0.24
: 1705847372:0;ssh -i keys/armyknife ansible@10.0.0.9
: 1705847390:0;ssh -i keys/armyknife ubuntu@10.0.0.9
: 1705847866:0;cd community/ansible
: 1705847873:0;ls -al
: 1705847876:0;cd playbooks
: 1705847877:0;ls -al
: 1705847879:0;cd templates
: 1705847882:0;ls -al
: 1705847915:0;scp *.js ubuntu@10.0.0.9:./etc/ansible/templates/
: 1705847924:0;scp *.js ubuntu@10.0.0.9:./etc/ansible/
: 1705847932:0;scp *.js ubuntu@10.0.0.9:.
: 1705847948:0;scp *.j2 ubuntu@10.0.0.9:.
: 1705850110:0;cd tools/vim
: 1705850116:0;cd ..
: 1705850120:0;cd templates
: 1705850121:0;ls -al
: 1705850123:0;cd ..
: 1705850133:0;git status
: 1705850154:0;git add community/ansible/playbooks/*
: 1705850169:0;cd tools
: 1705850171:0;cd vim
: 1705850178:0;wget http://desintegr.googlecode.com/svn/config/vim/colors/monokai.vim
: 1705850199:0;curl -G https://raw.githubusercontent.com/lsdr/monokai/master/colors/monokai.vim -o monokai.vim
: 1705850201:0;ls -al
: 1705850401:0;cp ~/Downloads/python.vim .
: 1705850402:0;l s-al
: 1705850403:0;ls -al
: 1705850515:0;cd ..
: 1705850520:0;git clone --recursive https://github.com/davidhalter/jedi-vim.git .
: 1705850524:0;git clone --recursive https://github.com/davidhalter/jedi-vim.git
: 1705850538:0;ls -al
: 1705850542:0;cd jedi-vim
: 1705850543:0;l s-al
: 1705850544:0;ls -al
: 1705850610:0;cd plugin
: 1705850611:0;l s-al
: 1705850612:0;ls -al
: 1705850640:0;cp jedi.vim /home/administrator/localprojects/code/armyknife-tier1/tools/vim
: 1705850651:0;cd ..
: 1705850655:0;cd ftplugin
: 1705850656:0;ls -al
: 1705850659:0;cd python
: 1705850660:0;ls -al
: 1705850665:0;pwd
: 1705850692:0;cp jedi.vim /home/administrator/localprojects/code/armyknife-tier1/tools/vim/ftp-jedi.vim
: 1705850699:0;cd ..
: 1705850702:0;cd after
: 1705850703:0;ls -al
: 1705852709:0;cd ftplugin
: 1705852710:0;ls -al
: 1705852713:0;cd python
: 1705852714:0;ls -al
: 1705852731:0;cp jedi.vim /home/administrator/localprojects/code/armyknife-tier1/tools/vim/ftp-after-jedi.vim
: 1705852734:0;cd ..
: 1705852745:0;ls -al
: 1705853092:0;cd ..
: 1705853128:0;python3 community/python/create_server_ubuntu.py --name ubuntu --memory 4096 --cpu 2 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705853343:0;ssh -i aryknife-tier1/keys/armyknife ubuntu@10.0.0.64
: 1705853358:0;ssh -i aryknife-tier1/keys/armyknife ansible@10.0.0.64
: 1705853370:0;cd aryknife-tier1
: 1705853372:0;ls -al
: 1705853377:0;cd armyknife-tier1
: 1705853388:0;ssh -i keys/armyknife ansible@10.0.0.64
: 1705853785:0;scp -i keys/aryknife -f community/ansible ansible@10.0.0.64:.
: 1705853880:0;ssh -i keys/armyknife ansible@10.0.0.64
: 1705853885:0;scp -i keys/aryknife -f community/ansible ansible@10.0.0.64:.
: 1705853909:0;scp -i keys/aryknife -r community/ansible ansible@10.0.0.64:.
: 1705853920:0;pwd
: 1705853922:0;ls -al
: 1705853941:0;ssh-add
: 1705853949:0;ssh-add keys/aryknife
: 1705853953:0;cd keys
: 1705853954:0;ls -al
: 1705853960:0;ssh-add armyknife
: 1705853968:0;cd ..
: 1705853981:0;scp -r community/ansible ansible@10.0.0.64:.
: 1705857998:0;cd community/ansible/playbooks
: 1705857999:0;ls -al
: 1705858014:0;add-ssh keys/armyknife
: 1705858021:0;ssh-add keys/armyknife
: 1705858028:0;cd ..
: 1705858034:0;ssh-add keys/armyknife
: 1705858047:0;cd community/ansible/playbooks
: 1705858102:0;scp ansible@10.0.0.64.:/etc/ansible/playbooks .
: 1705858302:0;git status
: 1705858323:0;git add harden_os.yml
: 1705858328:0;git add harden_ssh.yml
: 1705858423:0;git rm security.yml
: 1705858452:0;git rm templates/issue.j2
: 1705858462:0;git rm templates/issue.net.j2
: 1705858473:0;git rm templates/sshd_config.j2
: 1705858475:0;git status
: 1705858530:0;git add ../../../tools/vbox/servers/ubuntu/configs/user-data
: 1705858532:0;git status
: 1705858559:0;git commit -m "Testing new settings and playbooks. Public keys were designed to be public"
: 1705858564:0;git push origin main
: 1705858865:0;python3 community/python/create_server_ubuntu.py --name ubuntu --memory 4096 --cpu 2 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705858870:0;cd ..
: 1705858876:0;cd..
: 1705858877:0;cd ..
: 1705858885:0;python3 community/python/create_server_ubuntu.py --name ubuntu --memory 4096 --cpu 2 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705859065:0;ssh -i keys/armyknife ansible@10.0.0.222
: 1705860092:0;sudo nmap -P0 192.168.51.0/24 -p 22
: 1705860293:0;cd tools/vbox/ovas
: 1705860295:0;ls -al
: 1705860300:0;cd tools
: 1705860302:0;cd vbox
: 1705860303:0;ls -al
: 1705860304:0;cd ova
: 1705860305:0;l s-al
: 1705860307:0;ls -al
: 1705860346:0;cd ..
: 1705860382:0;scp -r ova/ root@192.168.51.130:.
: 1705860444:0;ssh root@192.168.51.130
: 1705863829:0;ssh bitnami@192.168.51.133
: 1705864348:0;ssh -i keys/armyknife ansible@10.0.0.222
: 1705864979:0;sudo apt-get install qemu-utils cloud-guest-utils
: 1705865012:0;sudo dpkg -l | grep cloud
: 1705865155:0;cd ..
: 1705865159:0;git status
: 1705865192:0;git add tools/vbox/servers/ubuntu/configs/user-data
: 1705865205:0;git commit -m "Testing fixes for errors"
: 1705865211:0;git push origin main
: 1705865266:0;python3 community/python/create_server_ubuntu.py --name ubuntu --memory 4096 --cpu 2 --disk 124096 --os Ubuntu_64 --user ubuntu --folder ubuntu
: 1705866124:0;ssh -i keys/armyknife ansible@10.0.0.222
: 1705866191:0;sudo nmap -P0 10.0.0.0/24 -p 22
: 1705866233:0;ssh ubuntu@10.0.0.174
: 1705866247:0;ssh ubuntu@10.0.0.205
: 1705866262:0;ssh ubuntu@10.0.0.190
: 1705866280:0;ssh ubuntu@10.0.0.187
: 1705866544:0;ssh ansible@10.0.0.187
: 1705870376:0;git status
: 1705870379:0;git add Makefile
: 1705870390:0;git add community/python/create_server_ubuntu.py
: 1705870408:0;git add tools/vbox/servers/ubuntu/configs/user-data
: 1705870443:0;git commit -m "Testing things that were broke. Now looks to be fixed"
: 1705870447:0;git push origin main
: 1705876766:0;ssh bitnami@10.0.0.137
: 1705891869:0;ssh-copy-id ~/.ssh/armyknife bitnami@10.0.0.44
: 1705891879:0;ssh-copy-id -i ~/.ssh/armyknife bitnami@10.0.0.44
: 1705891895:0;ssh-copy-id -i armyknife.pub bitnami@10.0.0.44
: 1705891917:0;ssh -i armyknife bitnami@10.0.0.44
: 1705892042:0;cd localprojects/code/armyknife-tier1
: 1705892049:0;cd keys
: 1705892060:0;ssh -i armyknife ansible@10.0.0.24
: 1705893263:0;ssh -i armyknife bitnami@10.0.0.44
: 1705897431:0;git status
: 1705897439:0;git add ArmyKnife.png
: 1705897445:0;git add README.md
: 1705897459:0;git add community/ansible/playbooks/setup-elk.yml
: 1705897477:0;git add community/ansible/playbooks/templates/elasticsearch.yml.j2
: 1705897529:0;git commit -m "Testing new ansible playbooks"
: 1705897537:0;git push origin main
: 1705899210:0;history | grep cat
: 1705899263:0;cat Makefile Makefile.Git.mk Makefile.K8s.mk Makefile.Libs.mk Makefile.Vault.mk Makefile.VBox.mk Makefile.Workstation.mk >> AllMakefiles
: 1705948713:0;git status
: 1705948741:0;git add tools/servers/ubuntu/configs/user-data
: 1705948770:0;git add tools/vbox/servers/ubuntu/configs/user-data
: 1705948816:0;git commit -m "Testing new workstation settings"
: 1705948819:0;git push origin main
: 1705948844:0;cat ~/.zsh_history
